table,module,informant,disorder,status,variable,session_id,ksads_version,n_present,n_absent,n_branchskip_888,n_notadmin_555,n_nan,n_total,pct_administered
mh_y_ksads__ed,ed,youth,bulim,present,mh_y_ksads__ed__bulim__pres_dx,ses-04A,2.0,28,9005,0,0,7,9040,99.9
mh_y_ksads__ed,ed,youth,bulim,present,mh_y_ksads__ed__bulim__pres_dx,ses-05A,2.0,0,0,0,8535,0,8535,0.0
mh_y_ksads__ed,ed,youth,bulim,present,mh_y_ksads__ed__bulim__pres_dx,ses-06A,2.0,62,9233,0,0,4,9299,100.0
mh_y_ksads__ed,ed,youth,bulim,present,mh_y_ksads__ed__bulim__pres_dx,ses-07A,2.0,0,0,0,8344,13,8357,0.0
mh_y_ksads__gad,gad,youth,oth__mindur,past,mh_y_ksads__gad__oth__mindur__past_dx,ses-00A,1.0,157,11618,0,0,7,11782,99.9
mh_y_ksads__gad,gad,youth,oth__mindur,past,mh_y_ksads__gad__oth__mindur__past_dx,ses-01A,1.0,0,1,0,11096,2,11099,0.0
mh_y_ksads__gad,gad,youth,oth__mindur,past,mh_y_ksads__gad__oth__mindur__past_dx,ses-02A,1.0,172,10682,0,0,1,10855,100.0
mh_y_ksads__gad,gad,youth,oth__mindur,past,mh_y_ksads__gad__oth__mindur__past_dx,ses-03A,2.0,0,0,0,10301,0,10301,0.0
mh_y_ksads__gad,gad,youth,oth__mindur,past,mh_y_ksads__gad__oth__mindur__past_dx,ses-04A,2.0,302,8731,0,0,7,9040,99.9
mh_y_ksads__gad,gad,youth,oth__mindur,past,mh_y_ksads__gad__oth__mindur__past_dx,ses-05A,2.0,0,0,0,8535,0,8535,0.0
mh_y_ksads__gad,gad,youth,oth__mindur,past,mh_y_ksads__gad__oth__mindur__past_dx,ses-06A,2.0,387,8908,0,0,4,9299,100.0
mh_y_ksads__gad,gad,youth,oth__mindur,past,mh_y_ksads__gad__oth__mindur__past_dx,ses-07A,2.0,0,0,0,8344,13,8357,0.0
mh_y_ksads__gad,gad,youth,oth__mindur,present,mh_y_ksads__gad__oth__mindur__pres_dx,ses-00A,1.0,21,11754,0,0,7,11782,99.9
mh_y_ksads__gad,gad,youth,oth__mindur,present,mh_y_ksads__gad__oth__mindur__pres_dx,ses-01A,1.0,0,1,0,11096,2,11099,0.0
mh_y_ksads__gad,gad,youth,oth__mindur,present,mh_y_ksads__gad__oth__mindur__pres_dx,ses-02A,1.0,41,10813,0,0,1,10855,100.0
mh_y_ksads__gad,gad,youth,oth__mindur,present,mh_y_ksads__gad__oth__mindur__pres_dx,ses-03A,2.0,0,0,0,10301,0,10301,0.0
mh_y_ksads__gad,gad,youth,oth__mindur,present,mh_y_ksads__gad__oth__mindur__pres_dx,ses-04A,2.0,47,8986,0,0,7,9040,99.9
mh_y_ksads__gad,gad,youth,oth__mindur,present,mh_y_ksads__gad__oth__mindur__pres_dx,ses-05A,2.0,0,0,0,8535,0,8535,0.0
